X1,X2,X3,X4,Y1,Y2,Y3,Y4
250.0,80.0,600.0,8.0,9.145,20.149,65.0,413.7
250.0,60.0,450.0,8.0,13.056,43.858,50.5,336.2
250.0,40.0,300.0,4.0,53.262,168.887,54.7,488.2
250.0,20.0,150.0,4.0,91.367,229.99,63.2,546.5
750.0,20.0,300.0,8.0,42.773,153.216,55.7,463.4
750.0,40.0,150.0,8.0,39.153,149.662,60.0,587.6
750.0,60.0,600.0,4.0,22.356,57.073,46.2,362.3
750.0,80.0,450.0,4.0,20.731,100.877,47.2,614.7
1250.0,20.0,450.0,4.0,67.28,201.18,56.3,661.5
1250.0,40.0,600.0,4.0,31.366,131.328,44.8,371.2
1250.0,60.0,150.0,8.0,36.9,134.82,48.9,410.4
1250.0,80.0,300.0,8.0,25.008,75.12,63.0,396.8
1750.0,20.0,600.0,8.0,34.262,100.339,39.1,282.6
1750.0,40.0,450.0,8.0,21.393,75.368,54.7,404.4
1750.0,60.0,300.0,4.0,28.033,142.641,57.4,562.8
1750.0,80.0,150.0,4.0,66.744,174.156,56.52,600.94
